Sample in Buffer,Sample in Window,TRIGGER,design_1_i/design_1_i/usp_rf_data_converter_0_m00_axis_tdata_1[63:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED
350,350,0,390693435341538760
351,351,0,113717763228565956
352,352,0,88947690394878324
353,353,0,66429383013564780
354,354,0,70932879555428616
355,355,0,30400104949874868
356,356,0,-257553327485289332
357,357,0,-278945803677402028
358,358,0,-289079280800564168
359,359,0,-303716185750832168
360,360,0,-316101222168724588
361,361,0,-560425212859582368
362,362,0,-585195045170907084
363,363,0,-584069488869312524
364,364,0,-598706342274992196
365,365,0,-615595064219600916
366,366,0,-603210130886690916
367,367,0,-714675939677243904
368,368,0,-729312724365543976
369,369,0,-739446081226213904
370,370,0,-720305748453820988
371,371,0,-751830877123316280
372,372,0,-691031354432489880
373,373,0,-686527651724855668
374,374,0,-661757767872874864
375,375,0,-666261350318278984
376,376,0,-659505830618138944
377,377,0,-469226049077708456
378,378,0,-459092726576776800
379,379,0,-437700405003224592
380,380,0,-420811562795337208
381,381,0,-401670886419793400
382,382,0,-397167252432684484
383,383,0,-106680918870786452
384,384,0,-86414445662896528
385,385,0,-86414067708920156
386,386,0,-75154828113412352
387,387,0,-45881327454716140
388,388,0,253331207133594460
389,389,0,265716518424150916
390,390,0,287108977434559448
391,391,0,302871696391537720
392,392,0,325390003774162024
393,393,0,557329129849227216
394,394,0,566336569625806852
395,395,0,577595534340786196
396,396,0,600113704277379156
397,397,0,606869172438960176
398,398,0,627135473841866864
399,399,0,720586918485297612
400,400,0,726216263399639572
401,401,0,725090518111095348
402,402,0,732971817462663708
403,403,0,730720223803214336
404,404,0,687935546298468764
405,405,0,686809474590312844
406,406,0,669920683933043036
407,407,0,660913398776334676
408,408,0,651906165157136736
409,409,0,469507459628402380
410,410,0,458248357481023092
411,411,0,446989186608662124
412,412,0,422219113775760952
413,413,0,424470604350490064
414,414,0,386189955973252568
415,415,0,124976762292273604
416,416,0,95702849317765480
417,417,0,70933154439102812
418,418,0,52918377968828652
419,419,0,57421565275668684
420,420,0,-266560595458458476
421,421,0,-277819903766102948
422,422,0,-291330977530577900
423,423,0,-305967951206351948
424,424,0,-320604770254390356
425,425,0,-560425212860106644
426,426,0,-564928932747085820
427,427,0,-581817792134318088
428,428,0,-598706222017480724
429,429,0,-613343367485130784
430,430,0,-621224512215255124
431,431,0,-730438675812518376
432,432,0,-724809141921188380
433,433,0,-728186910361717248
434,434,0,-729312775907248700
435,435,0,-724809348075424252
436,436,0,-686527789162760632
437,437,0,-670765224827750784
438,438,0,-675268583933806988
439,439,0,-665135416051698024
440,440,0,-659505761895516508
441,441,0,-471477745813227156
442,442,0,-452337206876374692
443,443,0,-437700370640340528
444,444,0,-434322499117188612
445,445,0,-424189125078222268
446,446,0,-399418897628333496
447,447,0,-124695179939742196
448,448,0,-88666073680511400
449,449,0,-77406765370245388
450,450,0,-54888664148934892
451,451,0,-48132680592851172
452,452,0,255583213100204924
453,453,0,267968352596525956
454,454,0,291612628605207504
455,455,0,310752755227296808
456,456,0,327641683327452272
457,457,0,567462091572381592
458,458,0,570840083353831392
459,459,0,576469600070535212
460,460,0,591106505019492356
461,461,0,602365607170803808
462,462,0,615876732468856916
463,463,0,726216280578460156
464,464,0,730720034828323340
465,465,0,727342421007141420
466,466,0,721713058910833212
467,467,0,730720258164525596
468,468,0,696942419136743844
469,469,0,675550338082408868
470,470,0,681179820439898432
471,471,0,667668798216341876
472,472,0,665417015580428596
473,473,0,467255694173406928
474,474,0,453744740671948440
475,475,0,442485449543648848
476,476,0,424470862051673584
477,477,0,415463370734962148
478,478,0,392945080536139140
479,479,0,112591932037005772
480,480,0,104710254730412396
481,481,0,77688210282774860
482,482,0,61925508508287272
483,483,0,39407098045661372
484,484,0,-266560561100030840
485,485,0,-278945872395043788
486,486,0,-291330908813984712
487,487,0,-301464420293739516
488,488,0,-322856793406374964
489,489,0,-549166316872992708
490,490,0,-576187880277477288
491,491,0,-588573054134323204
492,492,0,-591950960013805612
493,493,0,-597580493912475704
494,494,0,-605461776080504956
495,495,0,-730438641454352900
496,496,0,-718053879915940376
497,497,0,-734942241081723404
498,498,0,-731564575721458256
499,499,0,-737194075255671336
500,500,0,-691031560591444364
501,501,0,-674142752746441064
502,502,0,-661758008391043420
503,503,0,-665135450412484948
504,504,0,-655002385607493972
505,505,0,-475981551596930760
506,506,0,-454589195668883092
507,507,0,-424189709202687584
508,508,0,-420811476900447764
509,509,0,-408426560740591064
510,510,0,-401670800519136696
511,511,0,-122443414489465292
512,512,0,-86414445668663688
513,513,0,-70651537730502972
514,514,0,-54888492352340236
515,515,0,-41377521671012508
516,516,0,253331413289665336
517,517,0,266842555773617084
518,518,0,287108857180193816
519,519,0,301745762130461700
520,520,0,309627422261642316
521,521,0,562958526306322368
522,522,0,566336174490388452
523,523,0,580973440218171404
524,524,0,586602785133561880
525,525,0,605743478687402124
526,526,0,611372995406203024
527,527,0,722838924456888828
528,528,0,721712869931747856
529,529,0,737475520164530744
530,530,0,735223685995825688
531,531,0,739727423059528212
532,532,0,685683712128190860
533,533,0,682305737525561720
534,534,0,678928020625688952
535,535,0,663165232950282592
536,536,0,663165078326217032
537,537,0,467255522379433704
538,538,0,444737421159695984
539,539,0,433478250288383536
540,540,0,428974341417600520
541,541,0,397448937866790376
542,542,0,395197086508254612
543,543,0,112591897679364508
544,544,0,104710392168317288
545,545,0,70932948280148268
546,546,0,59673880489099544
547,547,0,34903429697765612
548,548,0,-262057339429520268
549,549,0,-282323503398978500
550,550,0,-293582708628980716
551,551,0,-299212551762674712
552,552,0,-338619306204922952
553,553,0,-560425178501416888
554,554,0,-573936303798945792
555,555,0,-587447257309317116
556,556,0,-603209976263673876
557,557,0,-612217433219598408
558,558,0,-612217519121565840
559,559,0,-733816341175405092
560,560,0,-738319923620284964
561,561,0,-725935179269081644
562,562,0,-724809313719355920
563,563,0,-723683345095133712
564,564,0,-686527909422893464
565,565,0,-688779657694349740
566,566,0,-673017110537636172
567,567,0,-661757922486454592
568,568,0,-657254116700653888
569,569,0,-466974214903760544
570,570,0,-456840875222173264
571,571,0,-448959300990862944
572,572,0,-427566996596655600
573,573,0,-412930057288484304
574,574,0,-399419172505191904
575,575,0,-120191511593943540
576,576,0,-93169845110243728
577,577,0,-86414273863156052
578,578,0,-68399188155236624
579,579,0,-34622156588122332
580,580,0,251079647832048496
581,581,0,270220014971257780
582,582,0,291612611422454768
583,583,0,313004795557577708
584,584,0,329893534682580000
585,585,0,562958423227631572
586,586,0,575343837598451724
587,587,0,577595465616590872
588,588,0,591106436302112808
589,589,0,604617441343178824
590,590,0,615876491957504140
591,591,0,721713024551619072
592,592,0,735223960872684076
593,593,0,728468458354510376
594,594,0,741979102617274924
595,595,0,728468423994772012
596,596,0,690187311755561364
597,597,0,681179768902388092
598,598,0,667668987195951428
599,599,0,667668592058960196
600,600,0,663165026789230916
601,601,0,460500329096283844
602,602,0,458248254400235148
603,603,0,428974822459967056
604,604,0,428974255520089672
605,605,0,408707902575478240
606,606,0,395197017788515784
607,607,0,110340029140959644
608,608,0,82192153511723408
609,609,0,77688175926706500
610,610,0,66429314289893620
611,611,0,46162806723313900
612,612,0,-255301630750294920
613,613,0,-273316269779780476
614,614,0,-295834405361091500
615,615,0,-303716082672927788
616,616,0,-329612089768739976
617,617,0,-558173584843540468
618,618,0,-578439783171426316
619,619,0,-577313986344847384
620,620,0,-605461707358406700
621,621,0,-595328728456955992
622,622,0,-621224632474863740
623,623,0,-729312844627773980
624,624,0,-738319992339237384
625,625,0,-740571706255673872
626,626,0,-720305507931982380
627,627,0,-733816375538813488
628,628,0,-675268875996826016
629,629,0,-688779692055660940
630,630,0,-664009550504593748
631,631,0,-651624548448536888
632,632,0,-657254219777771800
633,633,0,-484988510335076044
634,634,0,-472603353660720732
635,635,0,-435448639546656336
636,636,0,-434322413221250620
637,637,0,-397167699111380456
638,638,0,-392663618444527032
639,639,0,-106680884514718156
640,640,0,-106680540910518696
641,641,0,-75155102995513652
642,642,0,-52636555097604356
643,643,0,-32370356776534252
644,644,0,253331172770972540
645,645,0,273597783412310924
646,646,0,298367856243114984
647,647,0,299494099752584260
648,648,0,327641752044307540
649,649,0,558454857957377920
650,650,0,570840100533700552
651,651,0,577595603056068672
652,652,0,591106384759359556
653,653,0,602365641531066416
654,654,0,622632097554368616
655,655,0,721712921469782512
656,656,0,721712973013060060
657,657,0,745357025677150784
658,658,0,741979291590593044
659,659,0,721712990191880768
660,660,0,692438871049505212
661,661,0,687935305778727312
662,662,0,683431603074763044
663,663,0,648528568518969644
664,664,0,665416895319247180
665,665,0,480766355616564888
666,666,0,453744620413912692
667,667,0,442485621338408532
668,668,0,437981557850113568
669,669,0,417715067473626600
670,670,0,392945235157321132
671,671,0,119347125323825604
672,672,0,97954820928569692
673,673,0,73184851173048676
674,674,0,55170074704347424
675,675,0,50666165835661484
676,676,0,-248546231309501280
677,677,0,-289078799760556956
678,678,0,-295834577164239876
679,679,0,-320604512556614684
680,680,0,-327360221233480768
681,681,0,-561551147127211964
682,682,0,-578439869069199340
683,683,0,-582943554601682960
684,684,0,-594202570851551288
685,685,0,-605461930698803276
686,686,0,-621224649659451560
687,687,0,-733816272453306876
688,688,0,-724809141916994024
689,689,0,-721431373482756612
690,690,0,-736068244067781156
691,691,0,-742823609153292844
692,692,0,-691031474694195592
693,693,0,-675268961896696188
694,694,0,-670765190466963788
695,695,0,-655002454326446356
696,696,0,-661757561708677404
697,697,0,-464722449448240848
698,698,0,-465848211913770620
699,699,0,-446707535539013212
700,700,0,-434322585018631692
701,701,0,-412930194726127072
702,702,0,-397167372689933704
703,703,0,-117940055379739076
704,704,0,-106680609632092588
705,705,0,-86414170787086684
706,706,0,-68399428675502320
707,707,0,-41377349868126404
708,708,0,255583247460205392
709,709,0,279227660904432556
710,710,0,293864187898889188
711,711,0,287109097699410972
712,712,0,314130609569793080
713,713,0,568587922759223180
714,714,0,582099013703829456
715,715,0,595610001566074860
716,716,0,586603060013041684
717,717,0,596736038918162500
718,718,0,620379936962906208
719,719,0,718335221749778948
720,720,0,730720292522166852
721,721,0,738601316992682556
722,722,0,737475674784401980
723,723,0,739727491779004972
724,724,0,699194253311740340
725,725,0,676676272353708432
726,726,0,683431448453843292
727,727,0,676675997466888548
728,728,0,654157964971870520
729,729,0,467255728540485280
730,730,0,458248134136956520
731,731,0,428974581941012072
732,732,0,435729740863374876
733,733,0,415463370732340700
734,734,0,406455982497465752
735,735,0,112592000757531116
736,736,0,102458592353583512
737,737,0,79940113175150956
738,738,0,64177136518037768
739,739,0,39407063687495852
740,740,0,-262057098910827308
741,741,0,-274441963531076508
742,742,0,-291330977534772212
743,743,0,-310471619547694144
744,744,0,-331863975486751816
745,745,0,-555921441437714364
746,746,0,-567180715381426088
747,747,0,-587447257306171420
748,748,0,-600958056195098692
749,749,0,-615594995502745680
750,750,0,-607713799235111024
751,751,0,-730438504018020876
752,752,0,-729312672828557812
753,753,0,-728186807283026484
754,754,0,-740571774977772040
755,755,0,-736068209710664232
756,756,0,-684276161151961480
757,757,0,-679772389722229124
758,758,0,-677520452464347464
759,759,0,-655002488689330512
760,760,0,-648246745645123868
761,761,0,-480484910706656940
762,762,0,-461344681007973988
763,763,0,-448959232275318360
764,764,0,-441077778302567996
765,765,0,-399419327128733128
766,766,0,-390411749911627208
767,767,0,-125820976768418236
768,768,0,-102176803846816168
769,769,0,-84162405329994076
770,770,0,-59392263782072588
771,771,0,-48132783668920516
772,772,0,251079647834145644
773,773,0,265716484065461124
774,774,0,300619776316933032
775,775,0,307375433463628848
776,776,0,316382804518896684
777,777,0,569713857026328508
778,778,0,568588180464076760
779,779,0,592232061325281252
780,780,0,591106487841196044
781,781,0,603491575797123116
782,782,0,629387531356211296
783,783,0,721712955826899480
784,784,0,723964635387267600
785,785,0,734097786086361676
786,786,0,728468286554245680
787,787,0,730720223804787240
788,788,0,678928020627261888
789,789,0,682305565725821300
790,790,0,676676169268726116
791,791,0,671046360495294768
792,792,0,658661409978845524
793,793,0,489773761030784692
794,794,0,458248305936696968
795,795,0,440233649728128544
796,796,0,426722730584049160
797,797,0,406456205836289496
798,798,0,408708005648664024
799,799,0,106962363786461676
800,800,0,91199490206466456
801,801,0,77688313366184244
802,802,0,59673743055388976
803,803,0,50666131472777388
804,804,0,-262057064547681156
805,805,0,-276694003861881748
806,806,0,-293582742989243364
807,807,0,-301464282853737500
808,808,0,-325108369883595868
809,809,0,-557047581861152680
810,810,0,-576187811560097784
811,811,0,-577314158145112060
812,812,0,-591950891295901748
813,813,0,-594202759830636580
814,814,0,-612217227063789644
815,815,0,-725935007467244032
816,816,0,-733816358352652792
817,817,0,-734942172362770976
